Judge Name,     Career Start,       Career End,     Nationality,    Residence
Steve Weisfeld,1991,2025,USA,USA NJ
Dave Moretti,1977,2025,USA,USA NV
Max DeLuca,1999,2025,USA,USA NY
Glenn Feldman,1992,2025,USA,USA CT
Tim Cheatham,2009,2025,USA,USA NV
Zachary Young,2005,2025,USA,USA CA
Don Trella,2002,2025,USA,USA CT
David Sutherland,2002,2025,USA,USA OK
Patricia Morse Jarman,1984,2025,USA,USA NV
Jerry Roth,1980,2015,USA,USA NV
John McKaie,1998,2024,USA,USA NY
Julie Lederman,1996,2020,USA,USA NY
Lou Moret,1982,2024,USA,USA CA
Lisa Giampa,2007,2024,USA,USA NV
Robert Hoyle,2000,2024,USA,USA NV
Kevin Morgan,2005,2025,USA,USA NY
Ilya Kilunin,2015,2024,RUS,RUS
Benoit Roussel,2004,2025,CAN,CAN
Dmitry Boldyrev,2014,2025,RUS,RUS
Adalaide Byrd,1982,2025,USA,USA NV
Duane Ford,1978,2013,USA,USA NV
Igor Tamadaev,2016,2024,RUS,RUS
Tom Schreck,2001,2025,USA,USA NY
Roman Petrov,2005,2024,RUS,RUS
Chuck Giampa,1985,2008,USA,USA NV
Don Ackerman,1983,2025,USA,USA NY
Tony Paolillo,1996,2025,USA,USA NY
Fernando Villarreal,2010,2025,USA,USA CA
Alejandro Rochin,1992,2025,USA,USA CA
Pat Russell,1984,2025,USA,USA CA
Eric Cheek,2006,2025,USA,USA NV
Edward Hernandez Sr,2010,2024,USA,USA CA
Tom Carusone,2009,2025,USA,USA CT
Ron McNair,1997,2025,USA,USA NY
Robin Taylor,2001,2025,USA,USA NY
Eric Marlinski,2008,2025,USA,USA NY
Chris Migliore,2017,2025,USA,USA NV
Mike Fitzgerald,1992,2025,USA,USA WI
Steve Morrow,2001,2024,USA,USA WY
Burt A Clements,1989,2025,USA,USA NV
Mike Ross,2000,2025,USA,USA FL
Waleska Roldan,2007,2025,USA,USA NY
Irakli Malazonia,2007,2025,RUS,RUS
Semen Stakheev,2006,2024,RUS,RUS
Rudy Barragan,2016,2025,USA,USA CA
Sergey Litunov,2015,2025,RUS,RUS
Chris Flores,2006,2025,USA,USA AZ
Nelson Vazquez,1987,2025,Puerto Rico,Puerto Rico
Glenn Trowbridge,1994,2020,USA,USA NV
James Ged O'Connor,2007,2024,USA,USA FL
